date,qom,teh,qaz,isf,nkh,rkh,cha,koh,gil,zan,maz,sem,skh,alb,mar,sis,bsh,ard,eaz,khu,hor,waz,ksh,ham,kor,lor,ilm,gol,kmn,yzd,frs,Total,reco,death,test
11/30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
12/1,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,5,,2,
12/2,11,4,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,18,,4,
12/3,19,6,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,28,,5,
12/4,26,10,,,,,,,4,,1,,,,2,,,,,,,,,,,,,,,,,43,,8,
12/5,34,13,,2,,,,,6,,1,,,,4,,,,,,,,,1,,,,,,,,61,3,12,
12/6,50,22,,2,,1,,,8,,3,,,2,4,,,,,,1,,,1,,,,,,,1,95,3,15,
12/7,65,26,,2,,1,,2,17,,4,1,,2,5,2,,1,,3,2,,1,1,,1,,,,,3,139,24,19,
12/8,72,64,,10,,2,,2,40,,11,4,,5,5,2,,6,2,3,2,1,3,2,1,4,,,,1,3,245,24,26,
12/9,88,128,2,20,,2,,2,65,,20,6,,8,5,2,,7,6,6,2,1,3,2,3,4,,2,,1,3,388,73,34,
12/10,109,180,8,32,,2,,2,82,,32,10,1,16,23,3,,10,12,10,2,1,3,2,8,4,1,24,,5,11,593,123,43,
12/11,139,350,8,45,,19,,2,110,,43,13,3,47,67,4,,10,12,19,4,1,5,5,8,12,2,24,2,5,19,978,175,54,
12/12,201,602,26,68,,25,,2,163,,55,13,6,57,85,5,,10,12,31,11,5,6,5,8,12,4,24,4,6,27,1501,291,66,
12/13,253,1070,55,120,,28,,2,218,2,62,30,6,93,141,6,,12,15,35,11,5,7,10,8,14,4,24,4,7,35,2336,435,77,
12/14,354,1323,80,120,1,36,1,2,253,8,71,38,6,112,149,14,,12,24,62,11,5,22,10,12,19,11,33,18,7,49,2922,552,92,
12/15,386,1352,111,238,8,87,9,2,333,15,121,60,15,173,180,19,3,26,65,63,13,10,22,16,18,30,11,37,7,7,68,3513,739,107,
12/16,523,1413,176,388,15,89,14,6,424,50,301,114,18,302,228,21,5,40,75,63,19,11,27,23,42,80,13,104,25,57,81,4747,913,124,
12/17,668,1539,178,484,23,135,16,6,494,52,606,138,18,305,265,34,8,41,77,64,30,33,31,34,44,107,15,162,40,81,95,5823,1669,145,
